Winner,Loser,Round,year
Toronto FC,NYCFC,Conference Semifinals,2016
CF Montréal,NY Red Bulls,Conference Semifinals,2016
Colorado Rapids,LA Galaxy,Conference Semifinals,2016
Seattle Sounders FC,Colorado Rapids,Conference Finals,2016
Toronto FC,CF Montréal,Conference Finals,2016
Seattle Sounders FC,Toronto FC,MLS Cup 2016,2016
NY Red Bulls,Chicago Fire,Knockout round,2017
Vancouver W'caps,SJ Earthquakes,Knockout round,2017
Columbus Crew,Atlanta Utd,Knockout round,2017
Houston Dynamo,Sporting KC,Knockout round,2017
Columbus Crew,NYCFC,Conference Semifinals,2017
Toronto FC,NY Red Bulls,Conference Semifinals,2017
Seattle Sounders FC,Vancouver W'caps,Conference Semifinals,2017
Houston Dynamo,Portland Timbers,Conference Semifinals,2017
Seattle Sounders FC,Houston Dynamo,Conference Finals,2017
Toronto FC,Columbus Crew,Conference Finals,2017
Toronto FC,Seattle Sounders FC,MLS Cup 2017,2017
NYCFC,Philadelphia Union,Knockout round,2018
Portland Timbers,FC Dallas,Knockout round,2018
Real Salt Lake,LAFC,Knockout round,2018
Columbus Crew,D.C. United,Knockout round,2018
NY Red Bulls,Columbus Crew,Conference Semifinals,2018
Portland Timbers,Seattle Sounders FC,Conference Semifinals,2018
Atlanta Utd,NYCFC,Conference Semifinals,2018
Sporting KC,Real Salt Lake,Conference Semifinals,2018
Portland Timbers,Sporting KC,Conference Finals,2018
Atlanta Utd,NY Red Bulls,Conference Finals,2018
Atlanta Utd,Portland Timbers,MLS Cup 2018,2018
Seattle Sounders FC,FC Dallas,Round 1,2019
Atlanta Utd,NE Revolution,Round 1,2019
Toronto FC,D.C. United,Round 1,2019
Real Salt Lake,Portland Timbers,Round 1,2019
Philadelphia Union,NY Red Bulls,Round 1,2019
LA Galaxy,Minnesota Utd,Round 1,2019
Toronto FC,NYCFC,Conference Semifinals,2019
Seattle Sounders FC,Real Salt Lake,Conference Semifinals,2019
LAFC,LA Galaxy,Conference Semifinals,2019
Atlanta Utd,Philadelphia Union,Conference Semifinals,2019
Seattle Sounders FC,LAFC,Conference Finals,2019
Toronto FC,Atlanta Utd,Conference Finals,2019
Seattle Sounders FC,Toronto FC,MLS Cup 2019,2019
Orlando City,NYCFC,First Round,2020
Columbus Crew,NY Red Bulls,First Round,2020
Sporting KC,SJ Earthquakes,First Round,2020
Minnesota Utd,Colorado Rapids,First Round,2020
FC Dallas,Portland Timbers,First Round,2020
Nashville SC,Toronto FC,First Round,2020
Seattle Sounders FC,LAFC,First Round,2020
NE Revolution,Philadelphia Union,First Round,2020
NE Revolution,Orlando City,Conference Semifinals,2020
