Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,year,OL,RPt%,ROW,RgRec,RgPt%,RW
Vancouver Canucks,82,51,22,,111,.677,249,198,0.57,-0.05,2012,9,.616,43,36-22-24,.585,
Calgary Flames,82,37,29,,90,.549,202,226,-0.28,0.01,2012,16,.488,34,32-29-21,.518,
Colorado Avalanche,82,41,35,,88,.537,208,220,-0.13,0.01,2012,6,.457,32,25-35-22,.439,
Minnesota Wild,82,35,36,,81,.494,177,226,-0.58,0.02,2012,11,.415,24,22-36-24,.415,
Edmonton Oilers,82,32,40,,74,.451,212,239,-0.32,0.01,2012,10,.402,27,25-40-17,.409,
Phoenix Coyotes,82,42,27,,97,.591,216,204,0.16,0.01,2012,13,.537,36,33-27-22,.537,
San Jose Sharks,82,43,29,,96,.585,228,210,0.22,0.00,2012,10,.500,34,31-29-22,.512,
Los Angeles Kings,82,40,27,,95,.579,194,179,0.19,0.01,2012,15,.506,34,31-27-24,.524,
Dallas Stars,82,42,35,,89,.543,211,222,-0.10,0.03,2012,5,.494,35,31-35-16,.476,
Anaheim Ducks,82,34,36,,80,.488,204,231,-0.29,0.04,2012,12,.439,31,29-36-17,.457,
Pittsburgh Penguins,48,36,12,,72,.750,165,119,0.91,-0.05,2013,0,.719,33,31-12-5,.698,
New York Rangers,48,26,18,,56,.583,130,112,0.38,0.00,2013,4,.542,22,18-18-12,.500,
New York Islanders,48,24,17,,55,.573,139,139,0.03,0.03,2013,7,.490,20,18-17-13,.510,
Philadelphia Flyers,48,23,22,,49,.510,133,141,-0.14,0.03,2013,3,.490,22,20-22-6,.479,
New Jersey Devils,48,19,19,,48,.500,112,129,-0.31,0.04,2013,10,.448,17,16-19-13,.469,
Montreal Canadiens,48,29,14,,63,.656,149,126,0.46,-0.02,2013,5,.594,26,24-14-10,.604,
Boston Bruins,48,28,14,,62,.646,131,109,0.44,-0.02,2013,6,.573,24,23-14-11,.594,
Toronto Maple Leafs,48,26,17,,57,.594,145,133,0.27,0.02,2013,5,.594,26,24-17-7,.573,
Ottawa Senators,48,25,17,,56,.583,116,104,0.27,0.02,2013,6,.521,21,19-17-12,.521,
Buffalo Sabres,48,21,21,,48,.500,125,143,-0.31,0.07,2013,6,.406,14,13-21-14,.417,
Washington Capitals,48,27,18,,57,.594,149,130,0.31,-0.09,2013,3,.531,24,20-18-10,.521,
Winnipeg Jets,48,24,21,,51,.531,128,144,-0.36,-0.03,2013,3,.510,22,18-21-9,.469,
Carolina Hurricanes,48,19,25,,42,.438,128,160,-0.65,0.02,2013,4,.396,18,17-25-6,.417,
Tampa Bay Lightning,48,18,26,,40,.417,148,150,-0.11,-0.07,2013,4,.396,17,16-26-6,.396,
Florida Panthers,48,15,27,,36,.375,112,171,-1.18,0.05,2013,6,.292,12,11-27-10,.333,
Chicago Blackhawks,48,36,7,,77,.802,155,102,1.04,-0.07,2013,5,.740,30,25-7-16,.688,
St. Louis Blues,48,29,17,,60,.625,129,115,0.31,0.02,2013,2,.563,24,20-17-11,.531,
Detroit Red Wings,48,24,16,,56,.583,124,115,0.20,0.01,2013,8,.531,22,20-16-12,.542,
Columbus Blue Jackets,48,24,17,,55,.573,120,119,0.03,0.01,2013,7,.490,19,14-17-17,.469,
Nashville Predators,48,16,23,,41,.427,111,139,-0.50,0.09,2013,9,.375,14,11-23-14,.375,
Vancouver Canucks,48,26,15,,59,.615,127,121,0.07,-0.06,2013,7,.552,21,20-15-13,.552,
Minnesota Wild,48,26,19,,55,.573,122,127,-0.16,-0.05,2013,3,.521,22,19-19-10,.500,
Edmonton Oilers,48,19,22,,45,.469,125,134,-0.22,-0.03,2013,7,.406,17,15-22-11,.427,
Calgary Flames,48,19,25,,42,.438,128,160,-0.65,0.02,2013,4,.427,19,17-25-6,.417,
Colorado Avalanche,48,16,25,,39,.406,116,152,-0.73,0.02,2013,7,.333,14,11-25-12,.354,
Anaheim Ducks,48,30,12,,66,.688,140,118,0.43,-0.02,2013,6,.594,24,23-12-13,.615,
Los Angeles Kings,48,27,16,,59,.615,133,118,0.29,-0.02,2013,5,.583,25,24-16-8,.583,
San Jose Sharks,48,25,16,,57,.594,124,116,0.17,0.01,2013,7,.479,17,17-16-15,.510,
Phoenix Coyotes,48,21,18,,51,.531,125,131,-0.10,0.03,2013,9,.458,17,16-18-14,.479,
Dallas Stars,48,22,22,,48,.500,130,142,-0.21,0.05,2013,4,.448,20,18-22-8,.458,
Boston Bruins,82,54,19,,117,.713,261,177,0.92,-0.11,2014,9,.677,51,47-19-16,.671,
Tampa Bay Lightning,82,46,27,,101,.616,240,215,0.25,-0.06,2014,9,.549,38,32-27-23,.530,
Montreal Canadiens,82,46,28,,100,.610,215,204,0.08,-0.05,2014,8,.543,40,33-28-21,.530,
Detroit Red Wings,82,39,28,,93,.567,222,230,-0.14,-0.04,2014,15,.500,34,30-28-24,.512,
Ottawa Senators,82,37,31,,88,.537,236,265,-0.37,-0.02,2014,14,.451,30,27-31-24,.476,
Toronto Maple Leafs,82,38,36,,84,.512,231,256,-0.34,-0.04,2014,8,.433,29,24-36-22,.427,
Florida Panthers,82,29,45,,66,.402,196,268,-0.87,0.01,2014,8,.341,21,21-45-16,.354,
Buffalo Sabres,82,21,51,,52,.317,157,248,-1.09,0.02,2014,10,.244,14,11-51-20,.256,
Pittsburgh Penguins,82,51,24,,109,.665,249,207,0.47,-0.04,2014,7,.598,44,40-24-18,.598,
New York Rangers,82,45,31,,96,.585,218,193,0.26,-0.04,2014,6,.543,41,39-31-12,.549,
Philadelphia Flyers,82,42,30,,94,.573,236,235,-0.01,-0.02,2014,10,.543,39,35-30-17,.530,
Columbus Blue Jackets,82,43,32,,93,.567,231,216,0.16,-0.03,2014,7,.506,38,35-32-15,.518,
Washington Capitals,82,38,30,,90,.549,235,240,-0.08,-0.02,2014,14,.470,28,24-30-28,.463,
New Jersey Devils,82,35,29,,88,.537,197,208,-0.15,-0.02,2014,18,.506,35,26-29-27,.482,
Carolina Hurricanes,82,36,35,,83,.506,207,230,-0.29,-0.01,2014,11,.451,34,30-35-17,.470,
New York Islanders,82,34,37,,79,.482,225,267,-0.51,0.00,2014,11,.396,25,21-37-24,.402,
Colorado Avalanche,82,52,22,,112,.683,250,220,0.40,0.04,2014,8,.628,47,37-22-23,.591,
St. Louis Blues,82,52,23,,111,.677,248,191,0.71,0.01,2014,7,.598,43,40-23-19,.604,
Chicago Blackhawks,82,46,21,,107,.652,267,220,0.60,0.02,2014,15,.573,40,39-21-22,.610,
Minnesota Wild,82,43,27,,98,.598,207,206,0.07,0.05,2014,12,.524,35,32-27-23,.530,
Dallas Stars,82,40,31,,91,.555,235,228,0.14,0.05,2014,11,.494,36,34-31-17,.518,
Nashville Predators,82,38,32,,88,.537,216,242,-0.25,0.07,2014,12,.506,36,33-32-17,.506,
Winnipeg Jets,82,37,35,,84,.512,227,237,-0.07,0.06,2014,10,.439,29,24-35-23,.433,
Anaheim Ducks,82,54,20,,116,.707,266,209,0.68,-0.01,2014,8,.677,51,44-20-18,.646,
San Jose Sharks,82,51,22,,111,.677,249,200,0.60,0.00,2014,9,.604,41,37-22-23,.591,
Los Angeles Kings,82,46,28,,100,.610,206,174,0.40,0.01,2014,8,.549,38,34-28-20,.537,
Phoenix Coyotes,82,37,30,,89,.543,216,231,-0.16,0.03,2014,15,.457,31,28-30-24,.488,
Vancouver Canucks,82,36,35,,83,.506,196,223,-0.30,0.03,2014,11,.451,31,25-35-22,.439,
Calgary Flames,82,35,40,,77,.470,209,241,-0.35,0.04,2014,7,.402,28,21-40-21,.384,
Edmonton Oilers,82,29,44,,67,.409,203,270,-0.75,0.07,2014,9,.348,25,20-44-18,.354,
Montreal Canadiens,82,50,22,,110,.671,221,189,0.36,-0.03,2015,10,.598,43,37-22-23,.591,
Tampa Bay Lightning,82,50,24,,108,.659,262,211,0.57,-0.06,2015,8,.622,47,43-24-15,.616,
Detroit Red Wings,82,43,25,,100,.610,235,221,0.14,-0.03,2015,14,.561,39,32-25-25,.543,
Ottawa Senators,82,43,26,,99,.604,238,215,0.25,-0.04,2015,13,.530,37,30-26-26,.524,
Boston Bruins,82,41,27,,96,.585,213,211,0.01,-0.01,2015,14,.537,37,28-27-27,.506,
Florida Panthers,82,38,29,,91,.555,206,223,-0.23,-0.02,2015,15,.476,30,29-29-24,.500,
Toronto Maple Leafs,82,30,44,,68,.415,211,262,-0.61,0.02,2015,8,.366,25,22-44-16,.366,
Buffalo Sabres,82,23,51,,54,.329,161,274,-1.33,0.05,2015,8,.262,15,14-51-17,.274,
New York Rangers,82,53,22,,113,.689,252,192,0.69,-0.04,2015,7,.652,49,43-22-17,.628,
Washington Capitals,82,45,26,,101,.616,242,203,0.44,-0.03,2015,11,.543,40,35-26-21,.555,
New York Islanders,82,47,28,,101,.616,252,230,0.26,-0.01,2015,7,.567,40,34-28-20,.537,
Pittsburgh Penguins,82,43,27,,98,.598,221,210,0.12,-0.01,2015,12,.537,39,33-27-22,.537,
Columbus Blue Jackets,82,42,35,,89,.543,236,250,-0.16,0.01,2015,5,.470,33,28-35-19,.457,
Philadelphia Flyers,82,33,31,,84,.512,215,234,-0.23,0.00,2015,18,.451,30,25-31-26,.463,
New Jersey Devils,82,32,36,,78,.476,181,216,-0.40,0.02,2015,14,.402,27,26-36-20,.439,
Carolina Hurricanes,82,30,41,,71,.433,188,226,-0.44,0.02,2015,11,.378,25,24-41-17,.396,
St. Louis Blues,82,51,24,,109,.665,248,201,0.59,0.02,2015,7,.591,42,37-24-21,.579,
Nashville Predators,82,47,25,,104,.634,232,208,0.33,0.03,2015,10,.573,41,33-25-24,.549,
Chicago Blackhawks,82,48,28,,102,.622,229,189,0.51,0.02,2015,6,.549,39,36-28-18,.549,
Minnesota Wild,82,46,28,,100,.610,231,201,0.39,0.03,2015,8,.555,42,38-28-16,.561,
Winnipeg Jets,82,43,26,,99,.604,230,210,0.29,0.04,2015,13,.518,36,32-26-24,.537,
Dallas Stars,82,41,31,,92,.561,261,260,0.06,0.05,2015,10,.494,37,33-31-18,.512,
Colorado Avalanche,82,39,31,,90,.549,219,227,-0.04,0.06,2015,12,.439,29,27-31-24,.476,
Anaheim Ducks,82,51,24,,109,.665,236,226,0.10,-0.03,2015,7,.604,43,35-24-23,.567,
Vancouver Canucks,82,48,29,,101,.616,242,222,0.20,-0.05,2015,5,.561,42,36-29-17,.543,
Calgary Flames,82,45,30,,97,.591,241,216,0.26,-0.05,2015,7,.543,41,32-30-20,.512,
Los Angeles Kings,82,40,27,,95,.579,220,205,0.16,-0.03,2015,15,.524,38,37-27-18,.561,
San Jose Sharks,82,40,33,,89,.543,228,232,-0.08,-0.03,2015,9,.500,36,34-33-15,.506,
Edmonton Oilers,82,24,44,,62,.378,198,283,-1.01,0.03,2015,14,.305,19,17-44-21,.335,
Arizona Coyotes,82,24,50,,56,.341,170,272,-1.20,0.04,2015,8,.293,19,14-50-18,.280,
Florida Panthers,82,47,26,,103,.628,239,203,0.42,-0.02,2016,9,.549,40,39-26-17,.579,
Tampa Bay Lightning,82,46,31,,97,.591,227,201,0.30,-0.02,2016,5,.561,43,36-31-15,.530,
Detroit Red Wings,82,41,30,,93,.567,211,224,-0.16,0.00,2016,11,.518,39,30-30-22,.500,
Boston Bruins,82,42,31,,93,.567,240,230,0.11,-0.02,2016,9,.500,38,33-31-18,.512,
Ottawa Senators,82,38,35,,85,.518,236,247,-0.13,0.01,2016,9,.463,32,26-35-21,.445,
Montreal Canadiens,82,38,38,,82,.500,221,236,-0.18,0.00,2016,6,.451,33,30-38-14,.451,
Buffalo Sabres,82,35,36,,81,.494,201,222,-0.25,0.01,2016,11,.457,33,29-36-17,.457,
Toronto Maple Leafs,82,29,42,,69,.421,198,246,-0.56,0.03,2016,11,.354,23,20-42-20,.366,
Washington Capitals,82,56,18,,120,.732,252,193,0.70,-0.02,2016,8,.671,52,45-18-19,.665,
Pittsburgh Penguins,82,48,26,,104,.634,245,203,0.50,-0.01,2016,8,.585,44,38-26-18,.573,
New York Rangers,82,46,27,,101,.616,236,217,0.24,0.01,2016,9,.555,43,39-27-16,.573,
New York Islanders,82,45,27,,100,.610,232,216,0.19,0.00,2016,10,.549,40,34-27-21,.543,
Philadelphia Flyers,82,41,27,,96,.585,214,218,-0.03,0.02,2016,14,.530,38,28-27-27,.506,
Carolina Hurricanes,82,35,31,,86,.524,198,226,-0.31,0.03,2016,16,.445,33,25-31-26,.463,
New Jersey Devils,82,38,36,,84,.512,184,208,-0.28,0.02,2016,8,.488,36,27-36-19,.445,
Columbus Blue Jackets,82,34,40,,76,.463,219,252,-0.38,0.03,2016,8,.402,28,26-40-16,.415,
Dallas Stars,82,50,23,,109,.665,267,230,0.45,-0.01,2016,9,.610,48,42-23-17,.616,
St. Louis Blues,82,49,24,,107,.652,224,201,0.28,0.00,2016,9,.591,44,36-24-22,.573,
Chicago Blackhawks,82,47,26,,103,.628,235,209,0.32,0.00,2016,9,.579,46,36-26-20,.561,
Nashville Predators,82,41,27,,96,.585,228,215,0.17,0.01,2016,14,.488,37,35-27-20,.549,
Minnesota Wild,82,38,33,,87,.530,216,206,0.13,0.01,2016,11,.457,35,34-33-15,.506,
Colorado Avalanche,82,39,39,,82,.500,216,240,-0.26,0.03,2016,4,.451,35,33-39-10,.463,
Winnipeg Jets,82,35,39,,78,.476,215,239,-0.26,0.03,2016,8,.427,32,29-39-14,.439,
Anaheim Ducks,82,46,25,,103,.628,218,192,0.27,-0.05,2016,11,.567,43,39-25-18,.585,
Los Angeles Kings,82,48,28,,102,.622,225,195,0.32,-0.04,2016,6,.591,46,34-28-20,.537,
San Jose Sharks,82,46,30,,98,.598,241,210,0.33,-0.05,2016,6,.555,42,37-30-15,.543,
Arizona Coyotes,82,35,39,,78,.476,209,245,-0.43,0.01,2016,8,.427,34,29-39-14,.439,
Calgary Flames,82,35,40,,77,.470,231,260,-0.36,-0.01,2016,7,.433,33,24-40-18,.402,
Vancouver Canucks,82,31,38,,75,.457,191,243,-0.62,0.02,2016,13,.372,26,22-38-22,.402,
Edmonton Oilers,82,31,43,,70,.427,203,245,-0.51,0.00,2016,8,.372,27,20-43-19,.360,
Montreal Canadiens,82,47,26,,103,.628,226,200,0.31,-0.01,2017,9,.567,44,33-26-23,.543,
Ottawa Senators,82,44,28,,98,.598,212,214,-0.01,0.01,2017,10,.524,38,34-28-20,.537,
Boston Bruins,82,44,31,,95,.579,234,212,0.27,0.00,2017,7,.543,42,38-31-13,.543,
Toronto Maple Leafs,82,40,27,,95,.579,251,242,0.11,0.00,2017,15,.530,39,33-27-22,.537,
Tampa Bay Lightning,82,42,30,,94,.573,234,227,0.09,0.01,2017,10,.506,38,32-30-20,.512,
Florida Panthers,82,35,36,,81,.494,210,237,-0.30,0.03,2017,11,.433,30,23-36-23,.421,
Detroit Red Wings,82,33,36,,79,.482,207,244,-0.41,0.04,2017,13,.348,24,17-36-29,.384,
Buffalo Sabres,82,33,37,,78,.476,201,237,-0.41,0.03,2017,12,.427,31,25-37-20,.427,
Washington Capitals,82,55,19,,118,.720,263,182,0.99,0.00,2017,8,.689,53,45-19-18,.659,
Pittsburgh Penguins,82,50,21,,111,.677,282,234,0.59,0.01,2017,11,.616,46,40-21-21,.616,
Columbus Blue Jackets,82,50,24,,108,.659,249,195,0.68,0.02,2017,8,.610,48,39-24-19,.591,
New York Rangers,82,48,28,,102,.622,256,220,0.47,0.03,2017,6,.591,45,40-28-14,.573,
New York Islanders,82,41,29,,94,.573,241,242,0.03,0.05,2017,12,.512,39,33-29-20,.524,
Philadelphia Flyers,82,39,33,,88,.537,219,236,-0.17,0.04,2017,10,.463,32,25-33-24,.451,
Carolina Hurricanes,82,36,31,,87,.530,215,236,-0.21,0.05,2017,15,.457,33,28-31-23,.482,
New Jersey Devils,82,28,40,,70,.427,183,244,-0.67,0.08,2017,14,.341,25,18-40-24,.366,
Chicago Blackhawks,82,50,23,,109,.665,244,213,0.32,-0.06,2017,9,.591,46,37-23-22,.585,
Minnesota Wild,82,49,25,,106,.646,266,208,0.63,-0.08,2017,8,.591,46,42-25-15,.604,
St. Louis Blues,82,46,29,,99,.604,235,218,0.17,-0.04,2017,7,.561,44,38-29-15,.555,
Nashville Predators,82,41,29,,94,.573,240,224,0.16,-0.04,2017,12,.512,39,35-29-18,.537,
Winnipeg Jets,82,40,35,,87,.530,249,256,-0.11,-0.03,2017,7,.476,37,33-35-14,.488,
Dallas Stars,82,34,37,,79,.482,223,262,-0.48,-0.01,2017,11,.421,33,28-37-17,.445,
Colorado Avalanche,82,22,56,,48,.293,166,278,-1.32,0.05,2017,4,.274,21,14-56-12,.244,
Anaheim Ducks,82,46,23,,105,.640,223,200,0.24,-0.04,2017,13,.561,43,40-23-19,.604,
Edmonton Oilers,82,47,26,,103,.628,247,212,0.37,-0.06,2017,9,.579,43,37-26-19,.567,
San Jose Sharks,82,46,29,,99,.604,221,201,0.21,-0.03,2017,7,.555,44,38-29-15,.555,
Calgary Flames,82,45,33,,94,.573,226,221,0.02,-0.04,2017,4,.537,41,32-33-17,.494,
Los Angeles Kings,82,39,35,,86,.524,201,205,-0.07,-0.02,2017,8,.488,37,25-35-22,.439,
Arizona Coyotes,82,30,42,,70,.427,197,260,-0.76,0.01,2017,10,.341,24,20-42-20,.366,
Vancouver Canucks,82,30,43,,69,.421,182,243,-0.73,0.01,2017,9,.354,26,19-43-20,.354,
Tampa Bay Lightning,82,54,23,,113,.689,296,236,0.66,-0.07,2018,5,.634,48,42-23-17,.616,
Boston Bruins,82,50,20,,112,.683,270,214,0.62,-0.07,2018,12,.610,47,41-20-21,.628,
Toronto Maple Leafs,82,49,26,,105,.640,277,232,0.49,-0.06,2018,7,.567,42,37-26-19,.567,
Florida Panthers,82,44,30,,96,.585,248,246,-0.01,-0.04,2018,8,.537,41,38-30-14,.549,
Detroit Red Wings,82,30,39,,73,.445,217,255,-0.48,-0.01,2018,13,.341,25,22-39-21,.396,
Montreal Canadiens,82,29,40,,71,.433,209,264,-0.68,0.00,2018,13,.378,27,24-40-18,.402,
Ottawa Senators,82,28,43,,67,.409,221,291,-0.85,0.00,2018,11,.372,26,18-43-21,.348,
Buffalo Sabres,82,25,45,,62,.378,199,280,-0.98,0.01,2018,12,.311,24,19-45-18,.341,
Washington Capitals,82,49,26,,105,.640,259,239,0.21,-0.04,2018,7,.585,46,38-26-18,.573,
Pittsburgh Penguins,82,47,29,,100,.610,272,250,0.23,-0.04,2018,6,.573,45,33-29-20,.524,
Philadelphia Flyers,82,42,26,,98,.598,251,243,0.07,-0.03,2018,14,.543,40,31-26-25,.530,
Columbus Blue Jackets,82,45,30,,97,.591,242,230,0.11,-0.04,2018,7,.537,39,30-30-22,.500,
New Jersey Devils,82,44,29,,97,.591,248,244,0.02,-0.03,2018,9,.530,39,33-29-20,.524,
Carolina Hurricanes,82,36,35,,83,.506,228,256,-0.35,-0.01,2018,11,.439,33,30-35-17,.470,
New York Islanders,82,35,37,,80,.488,264,296,-0.40,-0.01,2018,10,.427,32,25-37-20,.427,
New York Rangers,82,34,39,,77,.470,231,268,-0.46,-0.01,2018,9,.427,31,24-39-19,.409,
Nashville Predators,82,53,18,,117,.713,267,211,0.71,0.03,2018,11,.652,47,42-18-22,.646,
Winnipeg Jets,82,52,20,,114,.695,277,218,0.74,0.02,2018,10,.622,48,43-20-19,.640,
Minnesota Wild,82,45,26,,101,.616,253,232,0.29,0.04,2018,11,.549,42,38-26-18,.573,
Colorado Avalanche,82,43,30,,95,.579,257,237,0.28,0.04,2018,9,.518,41,35-30-17,.530,
St. Louis Blues,82,44,32,,94,.573,226,222,0.10,0.05,2018,6,.518,41,33-32-17,.506,
Dallas Stars,82,42,32,,92,.561,235,225,0.17,0.04,2018,8,.506,38,33-32-17,.506,
Chicago Blackhawks,82,33,39,,76,.463,229,256,-0.26,0.07,2018,10,.409,32,26-39-17,.421,
Vegas Golden Knights,82,51,24,,109,.665,272,228,0.52,-0.01,2018,7,.616,47,39-24-19,.591,
Anaheim Ducks,82,44,25,,101,.616,235,216,0.24,0.01,2018,13,.555,40,35-25-22,.561,
San Jose Sharks,82,45,27,,100,.610,252,229,0.28,0.00,2018,10,.537,40,35-27-20,.549,
Los Angeles Kings,82,45,29,,98,.598,239,203,0.44,0.00,2018,8,.543,43,34-29-19,.530,
Calgary Flames,82,37,35,,84,.512,218,248,-0.33,0.03,2018,10,.470,35,28-35-19,.457,
Edmonton Oilers,82,36,40,,78,.476,234,263,-0.32,0.03,2018,6,.415,31,24-40-18,.402,
Vancouver Canucks,82,31,40,,73,.445,218,264,-0.51,0.05,2018,11,.409,31,25-40-17,.409,
Arizona Coyotes,82,29,41,,70,.427,208,256,-0.53,0.05,2018,12,.372,27,20-41-21,.372,
Tampa Bay Lightning,82,62,16,,128,.780,325,222,1.21,-0.05,2019,4,.726,56,49-16-17,.701,
Boston Bruins,82,49,24,,107,.652,259,215,0.52,-0.01,2019,9,.604,47,38-24-20,.585,
Toronto Maple Leafs,82,46,28,,100,.610,286,251,0.42,-0.01,2019,8,.573,46,40-28-14,.573,
Montreal Canadiens,82,44,30,,96,.585,249,236,0.16,0.00,2019,8,.518,41,37-30-15,.543,
Florida Panthers,82,36,32,,86,.524,267,280,-0.14,0.02,2019,14,.463,33,26-32-24,.463,
Buffalo Sabres,82,33,39,,76,.463,226,271,-0.51,0.04,2019,10,.390,28,21-39-22,.390,
Detroit Red Wings,82,32,40,,74,.451,227,277,-0.57,0.04,2019,10,.402,29,20-40-22,.378,
Ottawa Senators,82,29,47,,64,.390,242,302,-0.69,0.05,2019,6,.360,29,23-47-12,.354,
Washington Capitals,82,48,26,,104,.634,278,249,0.35,-0.01,2019,8,.567,44,39-26-17,.579,
New York Islanders,82,48,27,,103,.628,228,196,0.38,-0.01,2019,7,.585,43,37-27-18,.561,
Pittsburgh Penguins,82,44,26,,100,.610,273,241,0.38,-0.01,2019,12,.543,42,37-26-19,.567,
Carolina Hurricanes,82,46,29,,99,.604,245,223,0.26,-0.01,2019,7,.561,44,39-29-14,.561,
Columbus Blue Jackets,82,47,31,,98,.598,258,232,0.31,-0.01,2019,4,.567,45,37-31-14,.537,
Philadelphia Flyers,82,37,37,,82,.500,244,281,-0.42,0.03,2019,8,.439,34,28-37-17,.445,
New York Rangers,82,32,36,,78,.476,227,272,-0.52,0.03,2019,14,.384,26,23-36-23,.421,
New Jersey Devils,82,31,41,,72,.439,222,275,-0.61,0.04,2019,10,.384,28,24-41-17,.396,
Nashville Predators,82,47,29,,100,.610,240,214,0.31,-0.01,2019,6,.561,43,38-29-15,.555,
Winnipeg Jets,82,47,30,,99,.604,272,244,0.33,-0.02,2019,5,.567,45,38-30-14,.549,
St. Louis Blues,82,45,28,,99,.604,247,223,0.28,-0.01,2019,9,.549,42,36-28-18,.549,
Dallas Stars,82,43,32,,93,.567,210,202,0.09,0.00,2019,7,.530,42,36-32-14,.524,
Colorado Avalanche,82,38,30,,90,.549,260,246,0.17,-0.01,2019,14,.463,36,33-30-19,.518,
Chicago Blackhawks,82,36,34,,84,.512,270,292,-0.25,0.02,2019,12,.427,33,24-34-24,.439,
Minnesota Wild,82,37,36,,83,.506,211,237,-0.30,0.02,2019,9,.470,36,33-36-13,.482,
Calgary Flames,82,50,25,,107,.652,289,227,0.70,-0.06,2019,7,.634,50,45-25-12,.622,
San Jose Sharks,82,46,27,,101,.616,289,261,0.30,-0.04,2019,9,.579,46,38-27-17,.567,
Vegas Golden Knights,82,43,32,,93,.567,249,230,0.19,-0.04,2019,7,.518,40,36-32-14,.524,
Arizona Coyotes,82,39,35,,86,.524,213,223,-0.14,-0.02,2019,8,.470,35,30-35-17,.470,
Vancouver Canucks,82,35,36,,81,.494,225,254,-0.35,0.01,2019,11,.427,29,22-36-24,.415,
Anaheim Ducks,82,35,37,,80,.488,199,251,-0.63,0.01,2019,10,.427,32,27-37-18,.439,
Edmonton Oilers,82,35,38,,79,.482,232,274,-0.51,0.01,2019,9,.427,32,24-38-20,.415,
Los Angeles Kings,82,31,42,,71,.433,202,263,-0.73,0.02,2019,9,.384,28,22-42-18,.378,
Boston Bruins,70,44,14,,100,.714,227,174,0.74,-0.02,2020,12,.679,,38-14-18,.671,38
Tampa Bay Lightning,70,43,21,,92,.657,245,195,0.71,0.00,2020,6,.607,,35-21-14,.600,35
Toronto Maple Leafs,70,36,25,,81,.579,238,227,0.15,-0.01,2020,9,.543,,28-25-17,.521,28
Florida Panthers,69,35,26,,78,.565,231,228,0.05,0.01,2020,8,.514,,30-26-13,.529,30
Montreal Canadiens,71,31,31,,71,.500,212,221,-0.12,0.01,2020,9,.415,,19-31-21,.415,19
Buffalo Sabres,69,30,31,,68,.493,195,217,-0.34,-0.03,2020,8,.435,,22-31-16,.435,22
Ottawa Senators,71,25,34,,62,.437,191,243,-0.76,-0.02,2020,12,.380,,18-34-19,.387,18
Detroit Red Wings,71,17,49,,39,.275,145,267,-1.70,0.02,2020,5,.232,,13-49-9,.246,13
Washington Capitals,69,41,20,,90,.652,240,215,0.41,0.04,2020,8,.587,,31-20-18,.580,31
Philadelphia Flyers,69,41,21,,89,.645,232,196,0.52,0.00,2020,7,.594,,31-21-17,.572,31
Pittsburgh Penguins,69,40,23,,86,.623,224,196,0.39,-0.02,2020,6,.558,,29-23-17,.543,29
Carolina Hurricanes,68,38,25,,81,.596,222,193,0.41,-0.02,2020,5,.522,,27-25-16,.515,27
Columbus Blue Jackets,70,33,22,,81,.579,180,187,-0.12,-0.02,2020,15,.500,,25-22-23,.521,25
New York Islanders,68,35,23,,80,.588,192,193,0.01,0.02,2020,10,.515,,24-23-21,.507,24
New York Rangers,70,37,28,,79,.564,234,222,0.15,-0.03,2020,5,.536,,31-28-11,.521,31
New Jersey Devils,69,28,29,,68,.493,189,230,-0.57,0.02,2020,12,.420,,22-29-18,.449,22
St. Louis Blues,71,42,19,,94,.662,225,193,0.47,0.02,2020,10,.599,,33-19-19,.599,33
Colorado Avalanche,70,42,20,,92,.657,237,191,0.64,-0.02,2020,8,.600,,37-20-13,.621,37
Dallas Stars,69,37,24,,82,.594,180,177,0.09,0.05,2020,8,.543,,26-24-19,.514,26
Winnipeg Jets,71,37,28,,80,.563,216,203,0.17,-0.01,2020,6,.514,,30-28-13,.514,30
Nashville Predators,69,35,26,,78,.565,215,217,-0.03,-0.01,2020,8,.507,,28-26-15,.514,28
Minnesota Wild,69,35,27,,77,.558,220,220,0.01,0.01,2020,7,.514,,30-27-12,.522,30
Chicago Blackhawks,70,32,30,,72,.514,212,218,-0.05,0.04,2020,8,.457,,23-30-17,.450,23
Vegas Golden Knights,71,39,24,,86,.606,227,211,0.21,-0.02,2020,8,.542,,30-24-17,.542,30
Edmonton Oilers,71,37,25,,83,.585,225,217,0.09,-0.02,2020,9,.521,,31-25-15,.542,31
Calgary Flames,70,36,27,,79,.564,210,215,-0.08,-0.01,2020,7,.479,,25-27-18,.486,25
Vancouver Canucks,69,36,27,,78,.565,228,217,0.13,-0.03,2020,6,.514,,27-27-15,.500,27
Arizona Coyotes,70,33,29,,74,.529,195,187,0.11,0.00,2020,8,.464,,26-29-15,.479,26
Anaheim Ducks,71,29,33,,67,.472,187,226,-0.53,0.02,2020,9,.380,,20-33-18,.408,20
Los Angeles Kings,70,29,35,,64,.457,178,212,-0.48,0.01,2020,6,.429,,21-35-14,.400,21
San Jose Sharks,70,29,36,,63,.450,182,226,-0.62,0.01,2020,5,.407,,22-36-12,.400,22
Carolina Hurricanes,56,36,12,,80,.714,179,136,0.67,-0.10,2021,8,.625,,27-12-17,.634,27
Florida Panthers,56,37,14,,79,.705,189,153,0.56,-0.08,2021,5,.670,,26-14-16,.607,26
